"Countries","Global North/ Global South classification"
"Afghanistan","GS"
"Albania","GS"
"Algeria","GS"
"Andorre","GS"
"Angola","GS"
"Anguilla","GS"
"Antigua and Barbuda","GS"
"Argentina","GS"
"Armenia","GS"
"Aruba","GS"
"Australia","GN"
"Austria","GN"
"Azerbaijan","GS"
"Bahamas","GS"
"Bahrain","GS"
"Bangladesh","GS"
"Barbados","GS"
"Belarus","GS"
"Belgium","GN"
"Belize","GS"
"Benin","GS"
"Bhutan","GS"
"Bolivia","GS"
"Bosnia and Herzegovina","GS"
"Botswana","GS"
"Brazil","GS"
"Brunei Darussalam","GS"
"Bulgaria","GS"
"Burkina Faso","GS"
"Burundi","GS"
"Cambodia","GS"
"Cameroon","GS"
"Canada","GN"
"Cape Verde","GS"
"Central African Republic","GS"
"Chad","GS"
"Channel Islands","GS"
"Chile","GS"
"China","GS"
"Macau","GS"
"Colombia","GS"
"Comoros","GS"
"Congo","GS"
"Congo, the Democratic Republic of the","GS"
"Costa Rica","GS"
"Cote d'Ivoire","GS"
"Croatia","GS"
"Cuba","GS"
"Cyprus","GS"
"Czechia","GS"
"Denmark","GN"
"Djibouti","GS"
"Dominica","GS"
"Dominican Republic","GS"
"Ecuador","GS"
"Egypt","GS"
"El Salvador","GS"
"Equatorial Guinea","GS"
"Eritrea","GS"
"Estonia","GN"
"Eswatini","GS"
"Ethiopia","GS"
"Fiji","GS"
"Finland","GN"
"France","GN"
"French Guiana","GS"
"French Polynesia","GS"
"Gabon","GS"
"Gambia","GS"
"Georgia","GS"
"Germany","GN"
"Ghana","GS"
"Greece","GN"
"Grenada","GS"
"Guadeloupe","GS"
"Guam","GS"
"Guatemala","GS"
"Guinea","GS"
"Guinea-Bissau","GS"
"Guyana","GS"
"Haiti","GS"
"Honduras","GS"
"Hong Kong","GS"
"Hungary","GN"
"Iceland","GN"
"India","GS"
"Indonesia","GS"
"Iran","GS"
"Iraq","GS"
"Ireland","GN"
"Israel","GN"
"Italy","GN"
"Jamaica","GS"
"Japan","GN"
"Jordan","GS"
"Kazakhstan","GS"
"Kenya","GS"
"Kiribati","GS"
"North Korea","GS"
"South Korea","GN"
"Kuwait","GS"
"Kyrgyzstan","GS"
"Lao People's Democratic Republic","GS"
"Latvia","GN"
"Lebanon","GS"
"Lesotho","GS"
"Liberia","GS"
"Libya","GS"
"Lithuania","GN"
"Liechtenstein","GN"
"Luxembourg","GN"
"Madagascar","GS"
"Malawi","GS"
"Malaysia","GS"
"Maldives","GS"
"Mali","GS"
"Malta","GS"
"Marshall Islands","GS"
"Martinique","GS"
"Mauritania","GS"
"Mauritius","GS"
"Mayotte","GS"
"Mexico","GS"
"Micronesia, Federated States of","GS"
"Monaco","GN"
"Mongolia","GS"
"Montenegro","GS"
"Morocco","GS"
"Mozambique","GS"
"Myanmar","GS"
"Namibia","GS"
"Nauru","GS"
"Nepal","GS"
"Netherlands","GN"
"Netherlands Antilles","GS"
"New Caledonia","GS"
"New Zealand","GN"
"Nicaragua","GS"
"Niger","GS"
"Nigeria","GS"
"Norway","GN"
"Oman","GS"
"Pakistan","GS"
"Palau","GS"
"Palestinian","GS"
"Panama","GS"
"Papua New Guinea","GS"
"Paraguay","GS"
"Peru","GS"
"Philippines","GS"
"Poland","GN"
"Portugal","GN"
"Puerto Rico","GS"
"Qatar","GS"
"Republic of Moldova","GS"
"Réunion","GS"
"Romania","GS"
"Russia","GS"
"Rwanda","GS"
"Saint Kitts and Nevis","GS"
"Saint Lucia","GS"
"Saint Vincent and the Grenadines","GS"
"Samoa","GS"
"San Marino","GN"
"Sao Tome and Principe","GS"
"Saudi Arabia","GS"
"Senegal","GS"
"Serbia","GS"
"Seychelles","GS"
"Sierra Leone","GS"
"Singapore","GS"
"Slovakia","GS"
"Slovenia","GN"
"Solomon Islands","GS"
"Somalia","GS"
"South Africa","GS"
"South Sudan","GS"
"Spain","GN"
"Sri Lanka","GS"
"Sudan","GS"
"Suriname","GS"
"Swaziland","GS"
"Sweden","GN"
"Switzerland","GN"
"Syrian Arab Republic","GS"
"Taiwan","GS"
"Tajikistan","GS"
"Tanzania","GS"
"Thailand","GS"
"The former Yugoslav Republic of Macedonia","GS"
"Timor-Leste","GS"
"Togo","GS"
"Tonga","GS"
"Trinidad and Tobago","GS"
"Tunisia","GS"
"Türkiye","GS"
"Turkmenistan","GS"
"Tuvalu","GS"
"Uganda","GS"
"Ukraine","GS"
"United Arab Emirates","GS"
"United Kingdom","GN"
"United States","GN"
"Uruguay","GS"
"Uzbekistan","GS"
"Vanuatu","GS"
"Venezuela","GS"
"Viet Nam","GS"
"Virgin Islands","GS"
"Western Sahara","GS"
"Yemen","GS"
"Zambia","GS"
"Zimbabwe","GS"
